# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
199             	5.24319879e-02	7.70847039e-19	-4.60655845e-01	2.30327923e-01	2.34916677e-01	2.62159940e-02	2.56543917e-01	-2.04111929e-01	2.62159940e-02	-2.62159940e-02	4.58875450e-03	-4.65244600e-01
200             	5.24328908e-02	7.70850052e-19	-4.61108467e-01	2.30554233e-01	2.35016503e-01	2.62164454e-02	2.56770679e-01	-2.04337788e-01	2.62164454e-02	-2.62164454e-02	4.46226924e-03	-4.65570736e-01
201             	5.24348826e-02	7.70853068e-19	-4.61571038e-01	2.30785519e-01	2.35119400e-01	2.62174413e-02	2.57002960e-01	-2.04568078e-01	2.62174413e-02	-2.62174413e-02	4.33388144e-03	-4.65904919e-01
202             	5.24377040e-02	7.70856164e-19	-4.62039202e-01	2.31019601e-01	2.35223930e-01	2.62188520e-02	2.57238453e-01	-2.04800749e-01	2.62188520e-02	-2.62188520e-02	4.20432873e-03	-4.66243530e-01
203             	5.24410045e-02	7.70859345e-19	-4.62517075e-01	2.31258538e-01	2.35331726e-01	2.62205023e-02	2.57479040e-01	-2.05038035e-01	2.62205023e-02	-2.62205023e-02	4.07318825e-03	-4.66590264e-01
204             	5.24449662e-02	7.70862529e-19	-4.63003506e-01	2.31501753e-01	2.35442533e-01	2.62224831e-02	2.57724236e-01	-2.05279270e-01	2.62224831e-02	-2.62224831e-02	3.94078028e-03	-4.66944287e-01
205             	5.24496413e-02	7.70865661e-19	-4.63498436e-01	2.31749218e-01	2.35556146e-01	2.62248206e-02	2.57974038e-01	-2.05524397e-01	2.62248206e-02	-2.62248206e-02	3.80692765e-03	-4.67305363e-01
206             	5.24549667e-02	7.70868762e-19	-4.64001968e-01	2.32000984e-01	2.35672230e-01	2.62274834e-02	2.58228468e-01	-2.05773501e-01	2.62274834e-02	-2.62274834e-02	3.67124571e-03	-4.67673214e-01
207             	5.24610232e-02	7.70871927e-19	-4.64513635e-01	2.32256818e-01	2.35791344e-01	2.62305116e-02	2.58487329e-01	-2.06026306e-01	2.62305116e-02	-2.62305116e-02	3.53452635e-03	-4.68048162e-01
208             	5.24677212e-02	7.70875206e-19	-4.65034119e-01	2.32517059e-01	2.35913992e-01	2.62338606e-02	2.58750920e-01	-2.06283199e-01	2.62338606e-02	-2.62338606e-02	3.39693285e-03	-4.68431052e-01
209             	5.24747420e-02	7.70878609e-19	-4.65565530e-01	2.32782765e-01	2.36040623e-01	2.62373710e-02	2.59020136e-01	-2.06545394e-01	2.62373710e-02	-2.62373710e-02	3.25785793e-03	-4.68823388e-01
210             	5.24820641e-02	7.70882041e-19	-4.66104911e-01	2.33052455e-01	2.36169727e-01	2.62410321e-02	2.59293487e-01	-2.06811423e-01	2.62410321e-02	-2.62410321e-02	3.11727186e-03	-4.69222182e-01
211             	5.24893387e-02	7.70885375e-19	-4.66644518e-01	2.33322259e-01	2.36298819e-01	2.62446694e-02	2.59566929e-01	-2.07077590e-01	2.62446694e-02	-2.62446694e-02	2.97655997e-03	-4.69621078e-01
212             	5.24977020e-02	7.70888776e-19	-4.67200730e-01	2.33600365e-01	2.36433799e-01	2.62488510e-02	2.59849216e-01	-2.07351514e-01	2.62488510e-02	-2.62488510e-02	2.83343431e-03	-4.70034164e-01
213             	5.25073778e-02	7.70892136e-19	-4.67770160e-01	2.33885080e-01	2.36573990e-01	2.62536889e-02	2.60138769e-01	-2.07631391e-01	2.62536889e-02	-2.62536889e-02	2.68891028e-03	-4.70459071e-01
